-4,-4,1,1,1,0
-4,-4,2,1,2,0
-7,-3,1,1,2,0
1,-4,1,1,2,0
0,8,1,1,2,0
-1,-7,1,1,2,0
-3,-3,1,1,2,0
7,-7,1,1,2,0
-7,7,1,1,2,0
-8,8,1,1,2,0
1,7,1,1,2,0
-4,-4,3,1,3,0
-7,-3,2,1,3,0
1,-4,2,1,3,0
0,8,2,1,3,0
-1,-7,2,1,3,0
-3,-3,2,1,3,0
7,-7,2,1,3,0
-7,7,2,1,3,0
-8,8,2,1,3,0
1,7,2,1,3,0
-4,-4,4,1,4,0
-7,-3,3,1,4,0
1,-4,3,1,4,0
0,8,3,1,4,0
-3,-2,3,1,4,0
-3,-3,2,1,4,0
-1,-7,3,1,4,0
-8,8,2,1,4,0
7,-7,3,1,4,0
-7,7,3,1,4,0
1,7,3,1,4,0
-4,-4,4,1,5,0
1,-4,3,1,5,0
-7,-3,4,1,5,0
0,8,4,1,5,0
-3,-2,4,1,5,0
-3,-3,2,1,5,0
-1,-7,4,1,5,0
-8,8,3,1,5,0
7,-7,4,1,5,0
-7,7,4,1,5,0
-5,-4,5,1,5,0
1,7,4,1,5,0
1,-3,4,1,5,0
-4,-4,4,1,6,0
1,-4,3,1,6,0
-7,-3,5,1,6,0
0,8,5,1,6,0
-3,-2,5,1,6,0
-3,-3,2,1,6,0
-1,-7,5,1,6,0
-8,8,3,1,6,0
7,-7,5,1,6,0
-7,7,5,1,6,0
-7,8,5,1,6,0
-5,-4,6,1,6,0
1,7,5,1,6,0
1,-3,5,1,6,0
-4,-4,4,1,7,0
1,-4,3,1,7,0
-7,-3,5,1,7,0
0,8,6,1,7,0
-1,-6,6,1,7,0
-7,-4,6,1,7,0
-3,-2,6,1,7,0
-3,-3,2,1,7,0
-1,-7,5,1,7,0
-8,8,3,1,7,0
7,-7,6,1,7,0
-7,7,6,1,7,0
2,-3,6,1,7,0
-7,8,6,1,7,0
-5,-4,7,1,7,0
1,7,6,1,7,0
1,-3,5,1,7,0
-4,-4,4,1,8,0
1,-4,3,1,8,0
-7,-3,5,1,8,0
0,8,7,1,8,0
-1,-6,7,1,8,0
-7,-4,7,1,8,0
-3,-2,7,1,8,0
-3,-3,2,1,8,0
-1,-7,5,1,8,0
-8,8,3,1,8,0
7,-7,7,1,8,0
-7,7,7,1,8,0
2,-3,7,1,8,0
-7,8,7,1,8,0
-5,-4,8,1,8,0
1,7,6,1,8,0
1,-3,5,1,8,0
0,7,7,1,8,0
-4,-4,4,1,9,0
1,-4,3,1,9,0
-7,-3,5,1,9,0
0,8,7,1,9,0
-1,-6,8,1,9,0
-7,-4,8,1,9,0
-3,-2,8,1,9,0
-3,-3,2,1,9,0
-1,-7,5,1,9,0
-8,7,8,1,9,0
-8,8,3,1,9,0
-7,7,7,1,9,0
7,-7,8,1,9,0
-7,8,7,1,9,0
2,-3,8,1,9,0
-5,-4,9,1,9,0
1,7,8,1,9,0
1,-3,5,1,9,0
0,7,8,1,9,0
-4,-4,4,1,10,0
1,-4,3,1,10,0
-7,-3,5,1,10,0
0,8,7,1,10,0
-1,-6,9,1,10,0
-7,-4,9,1,10,0
-3,-2,9,1,10,0
-3,-3,2,1,10,0
-1,-7,5,1,10,0
-8,7,9,1,10,0
-8,8,3,1,10,0
-7,7,7,1,10,0
7,-7,9,1,10,0
-7,8,8,1,10,0
2,-3,9,1,10,0
-5,-4,9,1,10,0
1,7,9,1,10,0
1,-3,5,1,10,0
0,7,9,1,10,0
-4,-4,4,1,11,0
1,-4,3,1,11,0
-7,-3,5,1,11,0
0,8,7,1,11,0
-1,-6,9,1,11,0
-7,-4,9,1,11,0
-3,-2,9,1,11,0
-3,-3,2,1,11,0
-1,-7,5,1,11,0
-8,7,9,1,11,0
-8,8,3,1,11,0
-7,7,7,1,11,0
7,-7,9,1,11,0
2,-3,9,1,11,0
-7,8,9,1,11,0
-5,-4,11,1,11,0
1,7,9,1,11,0
1,-3,5,1,11,0
0,7,9,1,11,0
-4,-4,4,1,12,0
1,-4,3,1,12,0
-7,-3,5,1,12,0
0,8,7,1,12,0
-3,-1,11,1,12,0
-3,-2,9,1,12,0
-1,-6,11,1,12,0
-7,-4,11,1,12,0
-3,-3,2,1,12,0
-1,-7,5,1,12,0
-8,7,11,1,12,0
-8,8,3,1,12,0
-7,7,7,1,12,0
7,-7,11,1,12,0
-7,8,9,1,12,0
2,-3,11,1,12,0
-5,-4,12,1,12,0
1,7,11,1,12,0
1,-3,5,1,12,0
0,7,11,1,12,0
-4,-4,4,1,13,0
1,-4,3,1,13,0
-7,-3,5,1,13,0
0,8,7,1,13,0
-3,-1,12,1,13,0
-3,-2,9,1,13,0
-1,-6,12,1,13,0
-7,-4,12,1,13,0
-3,-3,2,1,13,0
-1,-7,5,1,13,0
-8,7,12,1,13,0
-8,8,3,1,13,0
-7,7,7,1,13,0
7,-7,12,1,13,0
-7,8,11,1,13,0
2,-3,12,1,13,0
-5,-4,13,1,13,0
1,7,12,1,13,0
1,-3,5,1,13,0
0,7,12,1,13,0
-4,-4,4,1,14,0
1,-4,3,1,14,0
-7,-3,5,1,14,0
0,8,7,1,14,0
-3,-1,13,1,14,0
-3,-2,9,1,14,0
-1,-6,13,1,14,0
-7,-4,13,1,14,0
-3,-3,2,1,14,0
-1,-7,5,1,14,0
