5,-3,1,1,1,0
-3,-1,1,1,2,0
3,-2,1,1,2,0
1,1,1,1,2,0
5,-3,2,1,2,0
6,-6,1,1,2,0
-6,-7,1,1,2,0
5,0,1,1,2,0
-4,7,1,1,2,0
1,-3,1,1,2,0
-3,-1,2,1,3,0
1,1,1,1,3,0
3,-2,2,1,3,0
2,4,1,1,3,0
5,-3,3,1,3,0
6,-6,2,1,3,0
-6,-7,2,1,3,0
5,0,2,1,3,0
-4,7,1,1,3,0
1,-3,2,1,3,0
-3,-1,3,1,4,0
1,1,2,1,4,0
3,-2,3,1,4,0
2,4,2,1,4,0
5,-3,4,1,4,0
6,-6,3,1,4,0
-6,-7,3,1,4,0
5,0,3,1,4,0
-4,7,2,1,4,0
1,-3,3,1,4,0
-3,-1,4,1,5,0
1,1,3,1,5,0
3,-2,4,1,5,0
2,4,3,1,5,0
5,-3,5,1,5,0
6,-6,4,1,5,0
-6,-7,4,1,5,0
5,0,4,1,5,0
-4,7,3,1,5,0
1,-3,4,1,5,0
-3,-1,5,1,6,0
1,1,4,1,6,0
3,-2,5,1,6,0
2,4,4,1,6,0
5,-3,6,1,6,0
6,-6,5,1,6,0
-6,-7,5,1,6,0
5,0,5,1,6,0
-4,7,4,1,6,0
1,-3,5,1,6,0
-3,-1,6,1,7,0
1,1,5,1,7,0
3,-2,6,1,7,0
2,4,6,1,7,0
6,0,6,1,7,0
5,-3,7,1,7,0
5,0,5,1,7,0
6,-6,6,1,7,0
-6,-7,6,1,7,0
-4,7,5,1,7,0
1,-3,6,1,7,0
-3,-1,7,1,8,0
1,1,6,1,8,0
3,-2,7,1,8,0
2,4,7,1,8,0
6,-3,8,1,8,0
6,0,7,1,8,0
5,-3,7,1,8,0
5,0,5,1,8,0
6,-6,7,1,8,0
-6,-7,7,1,8,0
-4,7,6,1,8,0
1,-3,7,1,8,0
-3,-1,7,1,9,0
-5,-7,8,1,9,0
3,-2,7,1,9,0
1,1,7,1,9,0
-2,-1,8,1,9,0
3,4,8,1,9,0
2,4,7,1,9,0
6,-3,9,1,9,0
6,0,8,1,9,0
5,-3,7,1,9,0
5,0,5,1,9,0
-6,-7,7,1,9,0
6,-6,8,1,9,0
